"","country","week","deaths","year","deaths_cumsum"
"1","Afghanistan",0,0,"2020",0
"2","Afghanistan",1,0,"2020",0
"3","Afghanistan",2,0,"2020",0
"4","Afghanistan",3,0,"2020",0
"5","Afghanistan",4,0,"2020",0
"6","Afghanistan",5,0,"2020",0
"7","Afghanistan",6,0,"2020",0
"8","Afghanistan",7,0,"2020",0
"9","Afghanistan",8,0,"2020",0
"10","Afghanistan",9,0,"2020",0
"11","Afghanistan",10,0,"2020",0
"12","Afghanistan",11,0,"2020",0
"13","Afghanistan",12,3,"2020",3
"14","Afghanistan",13,2,"2020",5
"15","Afghanistan",14,10,"2020",15
"16","Afghanistan",15,15,"2020",30
"17","Afghanistan",16,17,"2020",47
"18","Afghanistan",17,25,"2020",72
"19","Afghanistan",18,43,"2020",115
"20","Afghanistan",19,53,"2020",168
"21","Afghanistan",20,47,"2020",215
"22","Afghanistan",21,37,"2020",252
"23","Afghanistan",22,79,"2020",331
"24","Afghanistan",23,124,"2020",455
"25","Afghanistan",24,97,"2020",552
"26","Afghanistan",25,155,"2020",707
"27","Afghanistan",26,123,"2020",830
"28","Afghanistan",27,149,"2020",979
"29","Afghanistan",28,172,"2020",1151
"30","Afghanistan",29,99,"2020",1250
"31","Afghanistan",30,37,"2020",1287
"32","Afghanistan",31,24,"2020",1311
"33","Afghanistan",32,63,"2020",1374
"34","Afghanistan",33,15,"2020",1389
"35","Afghanistan",34,17,"2020",1406
"36","Afghanistan",35,7,"2020",1413
"37","Afghanistan",36,11,"2020",1424
"38","Afghanistan",37,17,"2020",1441
"39","Afghanistan",38,16,"2020",1457
"40","Afghanistan",39,9,"2020",1466
"41","Afghanistan",40,11,"2020",1477
"42","Afghanistan",41,15,"2020",1492
"43","Afghanistan",42,15,"2020",1507
"44","Afghanistan",43,11,"2020",1518
"45","Albania",0,0,"2020",1518
"46","Albania",1,0,"2020",1518
"47","Albania",2,0,"2020",1518
"48","Albania",3,0,"2020",1518
"49","Albania",4,0,"2020",1518
"50","Albania",5,0,"2020",1518
"51","Albania",6,0,"2020",1518
"52","Albania",7,0,"2020",1518
"53","Albania",8,0,"2020",1518
"54","Albania",9,0,"2020",1518
"55","Albania",10,1,"2020",1519
"56","Albania",11,0,"2020",1519
"57","Albania",12,7,"2020",1526
"58","Albania",13,8,"2020",1534
"59","Albania",14,6,"2020",1540
"60","Albania",15,3,"2020",1543
"61","Albania",16,1,"2020",1544
