"","country","week","deaths","year","deaths_cumsum"
"1","Afghanistan",0,0,"2020",0
"2","Afghanistan",1,0,"2020",0
"3","Afghanistan",2,0,"2020",0
"4","Afghanistan",3,0,"2020",0
"5","Afghanistan",4,0,"2020",0
"6","Afghanistan",5,0,"2020",0
"7","Afghanistan",6,0,"2020",0
"8","Afghanistan",7,0,"2020",0
"9","Afghanistan",8,0,"2020",0
"10","Afghanistan",9,0,"2020",0
"11","Afghanistan",10,0,"2020",0
"12","Afghanistan",11,0,"2020",0
"13","Afghanistan",12,3,"2020",3
"14","Afghanistan",13,2,"2020",5
"15","Afghanistan",14,10,"2020",15
"16","Afghanistan",15,15,"2020",30
"17","Afghanistan",16,17,"2020",47
"18","Afghanistan",17,25,"2020",72
"19","Afghanistan",18,43,"2020",115
"20","Afghanistan",19,53,"2020",168
"21","Afghanistan",20,43,"2020",211
"22","Afghanistan",21,37,"2020",248
"23","Afghanistan",22,79,"2020",327
"24","Afghanistan",23,124,"2020",451
"25","Afghanistan",24,97,"2020",548
"26","Afghanistan",25,155,"2020",703
"27","Afghanistan",26,123,"2020",826
"28","Afghanistan",27,149,"2020",975
"29","Afghanistan",28,172,"2020",1147
"30","Afghanistan",29,99,"2020",1246
"31","Afghanistan",30,37,"2020",1283
"32","Afghanistan",31,24,"2020",1307
"33","Afghanistan",32,63,"2020",1370
"34","Afghanistan",33,15,"2020",1385
"35","Afghanistan",34,17,"2020",1402
"36","Afghanistan",35,7,"2020",1409
"37","Afghanistan",36,11,"2020",1420
"38","Afghanistan",37,17,"2020",1437
"39","Afghanistan",38,14,"2020",1451
"40","Afghanistan",39,2,"2020",1453
"41","Albania",0,0,"2020",1453
"42","Albania",1,0,"2020",1453
"43","Albania",2,0,"2020",1453
"44","Albania",3,0,"2020",1453
"45","Albania",4,0,"2020",1453
"46","Albania",5,0,"2020",1453
"47","Albania",6,0,"2020",1453
"48","Albania",7,0,"2020",1453
"49","Albania",8,0,"2020",1453
"50","Albania",9,0,"2020",1453
"51","Albania",10,1,"2020",1454
"52","Albania",11,1,"2020",1455
"53","Albania",12,7,"2020",1462
"54","Albania",13,8,"2020",1470
"55","Albania",14,6,"2020",1476
"56","Albania",15,3,"2020",1479
"57","Albania",16,1,"2020",1480
"58","Albania",17,4,"2020",1484
"59","Albania",18,0,"2020",1484
"60","Albania",19,0,"2020",1484
"61","Albania",20,0,"2020",1484
"62","Albania",21,2,"2020",1486
