"","country","week","deaths","year","deaths_cumsum"
"1","Afghanistan",0,0,"2020",0
"2","Afghanistan",1,0,"2020",0
"3","Afghanistan",2,0,"2020",0
"4","Afghanistan",3,0,"2020",0
"5","Afghanistan",4,0,"2020",0
"6","Afghanistan",5,0,"2020",0
"7","Afghanistan",6,0,"2020",0
"8","Afghanistan",7,0,"2020",0
"9","Afghanistan",8,0,"2020",0
"10","Afghanistan",9,0,"2020",0
"11","Afghanistan",10,0,"2020",0
"12","Afghanistan",11,0,"2020",0
"13","Afghanistan",12,3,"2020",3
"14","Afghanistan",13,2,"2020",5
"15","Afghanistan",14,10,"2020",15
"16","Afghanistan",15,15,"2020",30
"17","Afghanistan",16,17,"2020",47
"18","Afghanistan",17,25,"2020",72
"19","Afghanistan",18,43,"2020",115
"20","Afghanistan",19,53,"2020",168
"21","Afghanistan",20,47,"2020",215
"22","Afghanistan",21,37,"2020",252
"23","Afghanistan",22,79,"2020",331
"24","Afghanistan",23,124,"2020",455
"25","Afghanistan",24,97,"2020",552
"26","Afghanistan",25,155,"2020",707
"27","Afghanistan",26,123,"2020",830
"28","Afghanistan",27,149,"2020",979
"29","Afghanistan",28,172,"2020",1151
"30","Afghanistan",29,99,"2020",1250
"31","Afghanistan",30,37,"2020",1287
"32","Afghanistan",31,24,"2020",1311
"33","Afghanistan",32,63,"2020",1374
"34","Afghanistan",33,15,"2020",1389
"35","Afghanistan",34,17,"2020",1406
"36","Afghanistan",35,7,"2020",1413
"37","Afghanistan",36,11,"2020",1424
"38","Afghanistan",37,17,"2020",1441
"39","Afghanistan",38,16,"2020",1457
"40","Afghanistan",39,9,"2020",1466
"41","Afghanistan",40,11,"2020",1477
"42","Afghanistan",41,15,"2020",1492
"43","Afghanistan",42,15,"2020",1507
"44","Afghanistan",43,26,"2020",1533
"45","Afghanistan",44,21,"2020",1554
"46","Afghanistan",45,37,"2020",1591
"47","Albania",0,0,"2020",1591
"48","Albania",1,0,"2020",1591
"49","Albania",2,0,"2020",1591
"50","Albania",3,0,"2020",1591
"51","Albania",4,0,"2020",1591
"52","Albania",5,0,"2020",1591
"53","Albania",6,0,"2020",1591
"54","Albania",7,0,"2020",1591
"55","Albania",8,0,"2020",1591
"56","Albania",9,0,"2020",1591
"57","Albania",10,1,"2020",1592
"58","Albania",11,0,"2020",1592
"59","Albania",12,7,"2020",1599
"60","Albania",13,8,"2020",1607
"61","Albania",14,6,"2020",1613
