Country	0–9	10–19	20–29	30–39	40–49	50–59	60–69	70–79	80–89	90+
Netherlands as of 3 June[32]	0.0	0.2	0.1	0.3	0.5	1.7	8.1	25.6	33.3	34.5
Norway as of 4      June[33]	0.0	0.0	0.0	0.0	0.3	0.4	2.2	9.0	22.7	57.0
Portugal as of 3    June[35]	0.0	0.0	0.0	0.0	0.3	1.3	3.6	10.5	21.2	NA
Spain as of 17       May[38]	0.2	0.3	0.2	0.3	0.6	1.4	4.9	14.3	21.0	22.3
Sweden as of 5      June[39]	0.5	0.0	0.2	0.2	0.6	1.7	6.6	23.4	35.6	40.3
Switzerland as of 4 June[40]	0.6	0.0	0.0	0.1	0.1	0.6	3.4	11.6	28.2	NA
Denmark as of 4     June[24]	0.2	0.2	0.2	0.2	0.2	0.2	4.1	16.5	28.1	48.2
Finland as of 4 June[25]	0.0	0.0	0.4	0.4	0.5	0.8	3.8	18.1	42.3	NA
Germany as of 5 June[26]	0.0	0.0	0.1	0.1	0.1	1.9	1.9	19.7	31.0	NA
Bavaria as of 5 June[27]	0.0	0.0	0.1	0.1	0.2	0.9	5.4	15.8	28.0	35.8
Italy as of 3 June[29]	0.3	0.0	0.1	0.3	0.9	2.7	10.6	25.9	32.4	29.9
Argentina as of 7 May[13]	0.0	0.0	0.1	0.4	1.3	3.6	12.9	18.8	28.4	NA
Australia as of 4 June[14]	0.0	0.0	0.0	0.0	0.1	0.2	1.1	4.1	18.1	40.8
Canada as of 3 June[15]	0.0	0.1	0.7	11.2	30.7
Alberta as of 3 June[16]	0.0	0.0	0.1	0.1	0.1	0.2	1.9	11.9	30.8	NA
Br. Columbia as of 2 June[17]	0.0	0.0	0.0	0.0	0.5	0.8	4.6	12.3	33.8	33.6
Ontario as of 3 June[18]	0.0	0.0	0.1	0.2	0.5	1.5	5.6	17.7	26.0	33.3
Quebec as of 2 June[19]	0.0	0.1	0.1	0.2	1.1	6.1	21.4	30.4	36.1	NA
Chile as of 31 May[20][21]	0.1	0.3	0.7	2.3	7.7	15.6
China as of 11 February[22]	0.0	0.2	0.2	0.2	0.4	1.3	3.6	8.0	14.8	NA
Colombia as of 3 June[23]	0.3	0.0	0.2	0.5	1.6	3.4	9.4	18.1	25.6	35.1
Israel as of 3 May[28]	0.0	0.0	0.0	0.9	0.9	3.1	9.7	22.9	30.8	31.3
Japan as of 7 May[30]	0.0	0.0	0.0	0.1	0.3	0.6	2.5	6.8	14.8	NA
Mexico as of 3 June[31]	3.3	0.6	1.2	2.9	7.5	15.0	25.3	33.7	40.3	40.6
Philippines as of 4 June[34]	1.6	0.9	0.5	0.8	2.4	5.5	13.2	20.9	31.5	NA
South Africa as of 28 May[36]	0.3	0.1	0.1	0.4	1.1	3.8	9.2	15.0	12.3	NA
South Korea as of 4 June[37]	0.0	0.0	0.0	0.2	0.2	0.7	2.7	10.9	26.5	NA
Colorado as of 3 June[41]	0.2	0.2	0.2	0.2	0.8	1.9	6.2	18.5	39.0	NA
Connecticut as of 3 June[42]	0.2	0.1	0.1	0.3	0.7	1.8	7.0	18.0	31.2	NA
Georgia as of 3 June[43]	0.0	0.1	0.1	0.5	0.9	2.0	6.1	13.2	22.0	NA
Idaho as of 3 June[44]	0.0	0.0	0.0	0.0	0.0	0.4	3.1	8.9	31.4	NA
Indiana as of 3 June[45]	0.1	0.1	0.1	0.2	0.6	1.8	7.3	17.1	30.2	NA
Kentucky as of 20 May[46]	0.0	0.0	0.0	0.2	0.5	1.9	5.9	14.2	29.1	NA
Maryland as of 20 May[47]	0.0	0.1	0.2	0.3	0.7	1.9	6.1	14.6	28.8	NA
Massachusetts as of 20 May[48]	0.0	0.0	0.1	0.1	0.4	1.5	5.2	16.8	28.9	NA
Minnesota as of 13 May[49]	0.0	0.0	0.0	0.1	0.3	1.6	5.4	26.9	NA	NA
Mississippi as of 19 May[50]	0.0	0.1	0.5	0.9	2.1	8.1	16.1	19.4	27.2	NA
Missouri as of 19 May[51]	0.0	0.0	0.1	0.2	0.8	2.2	6.3	14.3	22.5	NA
Nevada as of 20 May[52]	0.0	0.3	0.3	0.4	1.7	2.6	7.7	22.3	NA	NA
N. Hampshire as of 12 May[53]	0.0	0.0	0.4	0.0	1.2	0.0	2.2	12.0	21.2	NA
Oregon as of 12 May[54]	0.0	0.0	0.0	0.0	0.5	0.8	5.6	12.1	28.9	NA
Texas as of 20 May[55]	0.0	0.5	0.4	0.3	0.8	2.1	5.5	10.1	30.6	NA
Virginia as of 19 May[56]	0.0	0.0	0.0	0.1	0.4	1.0	4.4	12.9	24.9	NA
Washington as of 10 May[57]	0.0	0.0	0.2	0.2	1.3	1.3	9.8	9.8	31.2	NA
Wisconsin as of 20 May[58]	0.0	0.0	0.2	0.2	0.6	2.0	5.0	14.7	19.9	30.4
# from https://en.wikipedia.org/wiki/Mortality_due_to_COVID-19
